Ngày Tháng Năm,VIC,VHM,VRE,VN30F1M
11/27/2018,45.11,57.01,29.92,884.4
11/28/2018,45.33,57.01,30.11,890.3
11/29/2018,45.33,57.3,30.3,885.2
11/30/2018,45.2,56.65,29.82,887.5
12/3/2018,45.29,56.57,30.45,915.0
12/4/2018,45.33,59.7,31.76,912.8
12/5/2018,45.38,58.76,32.0,915.5
12/6/2018,45.38,59.27,32.05,909.0
12/7/2018,45.42,58.25,32.05,914.1
12/10/2018,45.38,58.25,31.08,913.9
12/11/2018,45.42,58.47,31.52,914.1
12/12/2018,45.42,58.47,31.86,920.8
12/13/2018,45.69,58.47,31.76,923.9
12/14/2018,45.65,58.1,31.28,913.1
12/17/2018,45.56,56.43,31.08,897.0
12/18/2018,45.33,56.43,30.69,894.6
12/19/2018,45.33,56.43,30.21,884.5
12/20/2018,45.29,56.35,29.24,878.5
12/21/2018,45.33,53.81,28.46,879.5
12/24/2018,45.33,54.17,28.8,877.0
12/25/2018,45.29,53.51,28.94,867.7
12/26/2018,45.29,52.42,28.36,863.0
12/27/2018,45.51,53.37,28.36,867.5
12/28/2018,42.36,53.44,27.1,855.0
1/2/2019,44.62,53.51,27.97,842.7
1/3/2019,44.58,53.3,26.91,824.0
1/4/2019,44.71,53.88,26.71,834.0
1/7/2019,44.89,54.02,27.1,842.0
1/8/2019,44.89,54.02,26.81,840.8
1/9/2019,45.11,54.02,28.22,847.5
1/10/2019,45.07,54.32,28.6,840.5
1/11/2019,45.07,55.77,29.04,845.6
1/14/2019,45.07,56.28,29.48,846.5
1/15/2019,45.11,58.17,30.11,860.0
1/16/2019,45.33,58.47,30.55,860.7
1/17/2019,45.33,58.1,29.24,850.0
1/18/2019,45.42,58.61,28.41,841.0
1/21/2019,45.51,58.61,28.46,862.0
1/22/2019,45.51,57.96,28.12,854.0
1/23/2019,45.6,57.96,28.26,860.8
1/24/2019,45.69,57.37,28.36,861.7
1/25/2019,45.73,56.79,28.36,867.9
1/28/2019,46.09,58.68,28.41,865.0
1/29/2019,46.18,59.34,28.56,870.0
1/30/2019,46.18,59.7,28.46,868.2
1/31/2019,46.18,58.25,28.36,866.9
2/1/2019,43.91,58.25,28.17,868.5
2/11/2019,46.22,58.17,28.56,878.0
2/12/2019,48.49,58.25,28.85,885.0
2/13/2019,48.45,58.25,29.53,894.5
2/14/2019,50.18,59.63,30.6,892.1
2/15/2019,49.78,59.12,30.06,889.6
2/18/2019,50.53,59.7,30.74,899.5
2/19/2019,51.56,63.34,30.69,900.1
2/20/2019,51.78,65.82,31.18,908.9
2/21/2019,52.62,70.41,33.02,925.0
2/22/2019,52.0,67.79,34.0,919.4
2/25/2019,51.69,66.98,32.93,937.0
2/26/2019,51.33,66.98,33.51,922.9
2/27/2019,52.18,67.49,33.51,923.0
2/28/2019,50.67,63.71,32.05,900.0
3/1/2019,51.16,66.26,33.02,910.0
3/4/2019,52.18,67.86,33.36,926.9
3/5/2019,52.13,66.26,33.22,917.5
3/6/2019,52.31,66.84,33.51,918.0
3/7/2019,52.98,66.98,34.0,908.0
3/8/2019,52.49,66.62,33.7,899.0
3/11/2019,52.58,65.53,34.48,911.8
3/12/2019,52.71,67.2,35.65,930.0
3/13/2019,52.22,68.44,36.72,927.0
3/14/2019,52.76,68.8,37.01,926.0
3/15/2019,52.76,67.93,36.42,927.0
3/18/2019,53.91,68.66,36.91,935.1
3/19/2019,53.78,68.44,36.62,926.1
3/20/2019,53.42,67.13,35.11,925.2
3/21/2019,52.0,64.22,33.51,908.0
3/22/2019,52.71,66.33,34.0,897.4
3/25/2019,51.2,64.8,32.39,883.0
3/26/2019,50.53,65.46,31.96,880.0
3/27/2019,50.62,65.6,32.98,884.0
3/28/2019,51.51,67.79,32.83,883.2
3/29/2019,51.51,66.62,33.61,884.0
4/1/2019,51.78,67.28,35.06,890.0
4/2/2019,51.69,67.13,34.97,885.1
4/3/2019,51.07,66.98,34.48,888.0
4/4/2019,51.16,66.98,34.48,888.0
4/5/2019,51.16,67.42,34.77,888.0
4/8/2019,51.33,68.88,34.77,894.8
4/9/2019,50.22,68.3,33.61,887.0
4/10/2019,49.69,67.35,34.0,885.2
4/11/2019,51.11,68.08,33.8,883.1
4/12/2019,50.31,67.93,33.95,885.0
4/16/2019,50.27,66.26,33.02,885.4
4/17/2019,48.89,65.38,32.64,883.0
4/18/2019,48.45,64.8,32.93,877.0
4/19/2019,48.93,64.8,32.93,866.2
4/22/2019,49.73,65.53,32.88,861.9
4/23/2019,50.22,64.8,33.7,865.5
4/24/2019,50.58,65.31,34.38,872.8
4/25/2019,50.49,65.67,34.14,868.6
4/26/2019,50.53,66.98,34.97,877.0
5/2/2019,50.49,66.55,35.4,877.6
5/3/2019,50.0,65.82,35.06,880.0
5/6/2019,49.87,64.8,34.19,866.6
5/7/2019,50.05,64.0,34.09,873.7
5/8/2019,50.05,62.32,34.09,873.3
5/9/2019,50.05,61.52,34.09,871.0
5/10/2019,50.09,61.16,34.34,876.7
5/13/2019,50.18,61.89,34.97,877.3
5/14/2019,50.45,61.89,34.97,883.0
5/15/2019,51.25,62.62,35.55,892.1
5/16/2019,51.96,63.34,35.55,890.0
5/17/2019,51.96,63.13,36.0,892.6
5/20/2019,52.22,63.2,36.15,908.9
5/21/2019,52.22,63.13,36.0,910.6
5/22/2019,52.22,62.98,35.8,908.2
5/23/2019,52.0,62.98,35.25,907.9
5/24/2019,51.11,61.52,35.0,901.0
5/27/2019,51.11,61.45,35.25,902.4
5/28/2019,50.67,60.8,34.6,903.0
5/29/2019,51.2,60.87,34.8,898.0
5/30/2019,51.11,60.14,35.0,898.9
5/31/2019,50.93,59.7,34.8,878.0
6/3/2019,50.89,58.68,33.8,859.0
6/4/2019,50.93,58.68,34.3,865.0
6/5/2019,51.51,58.68,34.35,866.4
6/6/2019,51.51,58.47,34.45,866.5
6/7/2019,52.0,59.85,34.75,874.8
6/10/2019,52.27,59.7,35.05,878.5
6/11/2019,52.0,59.63,35.2,877.0
6/12/2019,51.56,58.25,34.95,868.7
6/13/2019,51.33,58.25,34.7,865.0
6/14/2019,51.33,58.17,34.9,858.9
6/17/2019,50.89,56.79,34.0,854.0
6/18/2019,50.67,56.79,33.5,851.6
6/19/2019,51.51,56.86,34.0,856.8
6/20/2019,51.56,57.08,34.9,865.0
6/21/2019,50.89,57.16,34.3,885.0
6/24/2019,51.73,57.88,34.5,881.6
6/25/2019,51.73,57.88,34.3,875.1
6/26/2019,51.96,57.52,34.35,872.6
6/27/2019,51.07,56.43,33.75,856.9
6/28/2019,51.42,57.74,33.8,867.9
7/1/2019,52.09,58.98,34.25,888.4
7/2/2019,51.47,59.05,34.6,874.0
7/3/2019,51.29,59.7,34.3,874.0
7/4/2019,51.78,61.89,34.75,886.0
7/5/2019,51.87,62.62,35.75,882.5
7/8/2019,51.56,60.43,35.8,873.5
7/9/2019,51.56,60.5,36.4,874.5
7/10/2019,51.91,60.72,36.15,877.6
7/11/2019,51.78,60.5,36.45,880.0
