as_of_date,scenario_name,scenario_rank,shock_type,shock_magnitude,dd_total,dd_exogenous,dd_endogenous,panic_ratio,margin_calls,margin_call_events,min_price_mean,end_price_mean,dd_total_p10,dd_total_p90,panic_ratio_p10,panic_ratio_p90,simulation_runs,simulation_agents,steps_post_shock,stress_confidence
2026-06-19,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0008312788415896,0.0002508136647703,0.0005804651768192,0.1558477631111071,0,0,1823.0133068151545,1892.7759686030813,0.0,0.0014103071849489,0.0,0.7831558415999571,12,1000,20,0.4092172813879855
2026-06-19,price_drop_3pct,1,PRICE_DROP,0.03,0.0300467705270793,0.0280590401443473,0.001987730382732,0.0600276939669679,0,0,1769.708765770228,1816.9694004464563,0.0267809065786347,0.0322418489443037,0.0,0.1537510751477037,12,1000,20,0.4092172813879855
2026-06-19,price_drop_5pct,2,PRICE_DROP,0.05,0.057726385171846,0.0486458520064566,0.0090805331653893,0.1558333656362933,247,247,1719.2064784624115,1761.113010667182,0.0558642859053976,0.0617641413377271,0.0935205218602736,0.2065410027769698,12,1000,20,0.4092172813879855
2026-06-19,price_drop_7pct,3,PRICE_DROP,0.07,0.0774019983881797,0.0678560296485308,0.0095459687396488,0.1224137740980285,292,292,1683.3077318808143,1722.072497829495,0.0753012133685603,0.0788921551418571,0.0852263342847912,0.1669291101728297,12,1000,20,0.4092172813879855
2026-06-23,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.0029772334088863,0.0010928654900146,0.0018843679188716,0.2927858696779421,0,0,1863.4754316694552,1890.3663674000563,0.0,0.010191989046751,0.0,0.9858374851904136,12,1000,20,0.4043754429128436
2026-06-23,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0029576823224121,0.0010296531343219,0.0019280291880902,0.4176565560605426,0,0,1863.5119734321183,1893.1035305788016,0.0,0.0056207097790748,0.0,1.0,12,1000,20,0.4043754429128436
2026-06-23,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0013850640682461,0.0002638433260533,0.0011212207421927,0.4044070426100977,0,0,1866.4512598538856,1908.9971944572192,0.0,0.0038410678489875,0.0,1.0,12,1000,20,0.4043754429128436
2026-06-23,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0012322336913097,0.0004630883927521,0.0007691452985576,0.3333333333333333,0,0,1866.7369059415944,1910.16545177418,0.0,0.0026275559181067,0.0,1.0,12,1000,20,0.4043754429128436
2026-06-23,price_drop_3pct,1,PRICE_DROP,0.03,0.031054278465765,0.0287378450244775,0.0023164334412875,0.0696295433516706,0,0,1810.9983113763465,1845.7174526923875,0.0277508741878028,0.0333896641267211,0.0,0.106553401654356,12,1000,20,0.4043754429128436
2026-06-23,price_drop_5pct,2,PRICE_DROP,0.05,0.0553892064506555,0.0483847985051447,0.0070044079455108,0.1223974075512019,277,277,1765.5153575754666,1796.7514727364824,0.0508643337379868,0.0590073721728929,0.0322325301165845,0.1914244095946815,12,1000,20,0.4043754429128436
