as_of_date,pct_fundamental,pct_momentum,pct_foreign,pct_leveraged,avg_leverage_ratio,noise_std,pct_noise,calibration_method,input_quality_score,mli,liquidity_stress,valuation_gap,trend_z,breadth_z,foreign_flow_z,global_risk_z,global_risk_quality,margin_pressure_z,qp_downside_participation_z,qp_high_beta_sell_pressure_z,qp_sector_stress_z,margin_leverage_level,margin_call_trigger_pressure,cascade_vulnerability,latent_confidence_score,validation_quality,qp_panel_available,qp_panel_quality
2025-10-31,0.2700452616962428,0.2010324700042564,0.0874787634245889,0.3414435048749119,1.95,0.2382790713013806,0.1,latent_margin_state_mapping_v3,0.6690598868634808,0.75,1.3606405409369922,0.0020411579869159,-0.0602126877713751,-0.4444444444444446,0.3223656335101268,0.7735699886150248,1.0,0.7714013392356271,0.5558277987161951,0.2888864309864056,0.0839258624949288,0.8624999999999999,0.5603791322914028,0.7265456095311312,0.602989357013732,0.7401251904401914,True,0.9825
2025-11-07,0.2555518602853224,0.2305609079569936,0.0906263021302138,0.32326092962747,1.95,0.2305051219524182,0.1,latent_margin_state_mapping_v3,0.6397039704789884,0.75,1.52525609762091,0.0295786497308443,-1.3479036341736064,-1.0619168787107718,0.4563202843403849,1.309910056099394,1.0,0.0928976288012261,2.2277419418395543,1.3400608713418556,0.7750658093642943,0.8624999999999999,0.7192632893118411,0.7980434801903284,0.5780583292525171,0.6476325526634363,True,0.9825
2025-11-14,0.2695740329340073,0.2106986419869466,0.0971411188694057,0.3225862062096404,1.95,0.2266666666666666,0.1,latent_margin_state_mapping_v3,0.6488846313182859,0.75,1.3333333333333333,0.0064122318359607,-0.8558665880253298,-0.3019508057675997,0.584828158274099,1.0464620021564233,1.0,0.3114483721167123,-0.7398405077852274,-0.5337206158607772,-0.7400797763032352,0.8624999999999999,0.3601636199446326,0.6364486289750847,0.6528696332655914,0.6095438920075524,True,0.9825
2025-11-21,0.2636498253476247,0.2011091599181002,0.1105913364895425,0.3246496782447324,1.95,0.2277002459292097,0.1,latent_margin_state_mapping_v3,0.636612698619098,0.75,1.3850122964604852,-0.0025241000850755,-0.2779249594938225,-0.7362171331636982,0.9384639243507936,1.5932486237671537,1.0,-0.2322247414506271,0.1580105478869665,-0.2148201143632926,1.0335792625430362,0.8624999999999999,0.4322994705565417,0.6689097617504438,0.6013970480286517,0.6119287464477402,True,0.9825
2025-11-28,0.26777145040755,0.2101308335080502,0.1021603291628798,0.3199373869215199,1.95,0.2362114232854451,0.1,latent_margin_state_mapping_v3,0.6332466730956534,0.75,1.3645799769706513,-0.0235487288135592,0.5100186889513183,-0.9336209309668584,1.3781335962686936,-0.1907349370340654,1.0,0.0718296021333625,0.2416232165089384,-0.0315849820619493,0.6249328727463584,0.8624999999999999,0.394115290627783,0.6517268807825023,0.5755156180666582,0.6243460743159559,True,0.9825
2025-12-05,0.2581630593562261,0.2249362403282025,0.1198825915536994,0.297018108761872,1.95,0.2272955363268859,0.1,latent_margin_state_mapping_v3,0.6268048048289515,0.75,1.364776816344295,-0.0549999753804945,1.4552907774202888,-1.3228904136980444,2.404271834679249,-0.3292591795719793,1.0,-0.8059502069097843,0.9507758257163436,0.2813875054360767,-0.2698026836959094,0.8624999999999999,0.4048767795029134,0.656569550776311,0.5402509167209967,0.6338433025948095,True,0.9825
2025-12-12,0.2500044701074474,0.2365299084432499,0.0698950509018525,0.3435705705474502,1.95,0.2655172792235939,0.1,latent_margin_state_mapping_v3,0.6249545549632582,0.75,1.71288544376323,0.0007878678389339,0.1120480368165818,-2.9917934550914445,-0.2271756614978218,-0.3367556830373498,1.0,0.6233804109569142,2.837629669188179,2.801263823575386,1.5684822249719594,0.8624999999999999,0.8167303440423476,0.8419036548190564,0.5772847702673028,0.5887834495857304,True,0.985
2025-12-19,0.2762322117527167,0.2002403113320727,0.103230058485543,0.3202974184296674,1.95,0.2266666666666666,0.1,latent_margin_state_mapping_v3,0.6360285601901331,0.75,1.3333333333333333,-0.0352869278819911,0.4683405502032061,0.10285734945905,1.3368398539004562,-0.6479923513927393,1.0,-1.5463844706882277,-0.3030971387769735,-0.3723223610014878,-0.4009605692925723,0.8624999999999999,0.3664182619229948,0.6392632178653477,0.6276136675231754,0.5821255732373569,True,0.9875
2025-12-26,0.270061487732242,0.2029986912821157,0.1006430305467792,0.326296790438863,1.95,0.2267045149920964,0.1,latent_margin_state_mapping_v3,0.622176696644519,0.75,1.3352257496048228,-0.0604604928973043,0.3420785145079006,-1.0254897784153598,1.5310619143971704,-1.190197404823517,1.0,2.304105315638055,0.3011719675147522,0.0236552033936198,-0.2467482526508702,0.8624999999999999,0.4764463912098844,0.688775876044448,0.5609453230251471,0.5933864635529288,True,0.9875
2025-12-31,0.29678638234269,0.1952311304127454,0.0947480490650076,0.3132344381795569,2.5,0.227652812289117,0.1,latent_margin_state_mapping_v3,0.62311644648548,0.75,1.382640614455853,-0.1137159137159136,0.4633580430604663,-0.5705760777755653,1.246656823901455,-0.8745448845002214,1.0,-0.2067909981593386,0.1767809488057907,0.0568823806859683,0.8951338133528443,0.9,0.4124073718992371,0.6805833173546567,0.5725663759346568,0.5855244100072632,True,0.9875
