generated_at,window,channel,score,item_count
2026-06-14T11:08:30+07:00,latest_7d,commodity,-0.1868,168
2026-06-14T11:08:30+07:00,latest_7d,credit_stress,0.6324,7
2026-06-14T11:08:30+07:00,latest_7d,earnings,0.7803,452
2026-06-14T11:08:30+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T11:08:30+07:00,latest_7d,fx_external,0.2356,64
2026-06-14T11:08:30+07:00,latest_7d,growth,0.1791,502
2026-06-14T11:08:30+07:00,latest_7d,inflation,0.0,0
2026-06-14T11:08:30+07:00,latest_7d,liquidity,-0.0113,176
2026-06-14T11:08:30+07:00,latest_7d,monetary_policy,2.0,10
2026-06-14T11:08:30+07:00,latest_7d,real_estate_collateral,0.2394,51
2026-06-14T11:08:30+07:00,latest_7d,risk_appetite,0.0579,134
2026-06-14T11:08:30+07:00,latest_7d,unknown,-0.2005,21
2026-06-14T11:09:51+07:00,latest_1d,banking_system,0.0,0
2026-06-14T11:09:51+07:00,latest_1d,commodity,0.0,0
2026-06-14T11:09:51+07:00,latest_1d,credit_stress,1.1875,1
2026-06-14T11:09:51+07:00,latest_1d,earnings,0.7252,224
2026-06-14T11:09:51+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T11:09:51+07:00,latest_1d,fx_external,0.007,8
2026-06-14T11:09:51+07:00,latest_1d,growth,0.3781,49
2026-06-14T11:09:51+07:00,latest_1d,inflation,0.0,0
2026-06-14T11:09:51+07:00,latest_1d,liquidity,0.1628,16
2026-06-14T11:09:51+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T11:09:51+07:00,latest_1d,real_estate_collateral,0.3774,4
2026-06-14T11:09:51+07:00,latest_1d,risk_appetite,-0.3511,8
2026-06-14T11:09:51+07:00,latest_1d,unknown,0.0,5
2026-06-14T11:09:51+07:00,latest_30d,banking_system,-0.0795,16
2026-06-14T11:09:51+07:00,latest_30d,commodity,-0.1052,771
2026-06-14T11:09:51+07:00,latest_30d,credit_stress,0.3513,28
2026-06-14T11:09:51+07:00,latest_30d,earnings,0.4314,1386
2026-06-14T11:09:51+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T11:09:51+07:00,latest_30d,fx_external,0.1122,266
2026-06-14T11:09:51+07:00,latest_30d,growth,0.0715,2285
2026-06-14T11:09:51+07:00,latest_30d,inflation,0.0,0
2026-06-14T11:09:51+07:00,latest_30d,liquidity,-0.0121,748
2026-06-14T11:09:51+07:00,latest_30d,monetary_policy,1.2897,39
2026-06-14T11:09:51+07:00,latest_30d,real_estate_collateral,0.1682,300
2026-06-14T11:09:51+07:00,latest_30d,risk_appetite,0.0319,547
2026-06-14T11:09:51+07:00,latest_30d,unknown,-0.2015,104
2026-06-14T11:09:51+07:00,latest_7d,banking_system,0.0,3
2026-06-14T11:09:51+07:00,latest_7d,commodity,-0.1868,168
2026-06-14T11:09:51+07:00,latest_7d,credit_stress,0.6324,7
2026-06-14T11:09:51+07:00,latest_7d,earnings,0.7803,452
2026-06-14T11:09:51+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T11:09:51+07:00,latest_7d,fx_external,0.2356,64
2026-06-14T11:09:51+07:00,latest_7d,growth,0.1815,503
2026-06-14T11:09:51+07:00,latest_7d,inflation,0.0,0
2026-06-14T11:09:51+07:00,latest_7d,liquidity,-0.0113,176
2026-06-14T11:09:51+07:00,latest_7d,monetary_policy,2.0,10
2026-06-14T11:09:51+07:00,latest_7d,real_estate_collateral,0.1795,52
2026-06-14T11:09:51+07:00,latest_7d,risk_appetite,0.0318,136
2026-06-14T11:09:51+07:00,latest_7d,unknown,-0.2005,21
2026-06-14T11:12:18+07:00,latest_1d,banking_system,0.0,0
2026-06-14T11:12:18+07:00,latest_1d,commodity,0.0,0
2026-06-14T11:12:18+07:00,latest_1d,credit_stress,1.1875,1
2026-06-14T11:12:18+07:00,latest_1d,earnings,0.7252,224
2026-06-14T11:12:18+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T11:12:18+07:00,latest_1d,fx_external,0.007,8
2026-06-14T11:12:18+07:00,latest_1d,growth,0.3781,49
2026-06-14T11:12:18+07:00,latest_1d,inflation,0.0,0
2026-06-14T11:12:18+07:00,latest_1d,liquidity,0.1628,16
2026-06-14T11:12:18+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T11:12:18+07:00,latest_1d,real_estate_collateral,0.3774,4
2026-06-14T11:12:18+07:00,latest_1d,risk_appetite,-0.3511,8
2026-06-14T11:12:18+07:00,latest_1d,unknown,0.0,5
2026-06-14T11:12:18+07:00,latest_30d,banking_system,-0.0795,16
2026-06-14T11:12:18+07:00,latest_30d,commodity,-0.1052,771
2026-06-14T11:12:18+07:00,latest_30d,credit_stress,0.3513,28
2026-06-14T11:12:18+07:00,latest_30d,earnings,0.4314,1386
2026-06-14T11:12:18+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T11:12:18+07:00,latest_30d,fx_external,0.1122,266
2026-06-14T11:12:18+07:00,latest_30d,growth,0.0715,2285
2026-06-14T11:12:18+07:00,latest_30d,inflation,0.0,0
2026-06-14T11:12:18+07:00,latest_30d,liquidity,-0.0121,748
2026-06-14T11:12:18+07:00,latest_30d,monetary_policy,1.2897,39
2026-06-14T11:12:18+07:00,latest_30d,real_estate_collateral,0.1682,300
2026-06-14T11:12:18+07:00,latest_30d,risk_appetite,0.0319,547
2026-06-14T11:12:18+07:00,latest_30d,unknown,-0.2015,104
2026-06-14T11:12:18+07:00,latest_7d,banking_system,0.0,3
2026-06-14T11:12:18+07:00,latest_7d,commodity,-0.1868,168
2026-06-14T11:12:18+07:00,latest_7d,credit_stress,0.6324,7
2026-06-14T11:12:18+07:00,latest_7d,earnings,0.7803,452
2026-06-14T11:12:18+07:00,latest_7d,fiscal_public_investment,0.0,0
2026-06-14T11:12:18+07:00,latest_7d,fx_external,0.2356,64
2026-06-14T11:12:18+07:00,latest_7d,growth,0.1815,503
2026-06-14T11:12:18+07:00,latest_7d,inflation,0.0,0
2026-06-14T11:12:18+07:00,latest_7d,liquidity,-0.0113,176
2026-06-14T11:12:18+07:00,latest_7d,monetary_policy,2.0,10
2026-06-14T11:12:18+07:00,latest_7d,real_estate_collateral,0.1795,52
2026-06-14T11:12:18+07:00,latest_7d,risk_appetite,0.0318,136
2026-06-14T11:12:18+07:00,latest_7d,unknown,-0.2005,21
2026-06-14T11:43:15+07:00,latest_1d,banking_system,0.0,0
2026-06-14T11:43:15+07:00,latest_1d,commodity,0.0,0
2026-06-14T11:43:15+07:00,latest_1d,credit_stress,1.1875,1
2026-06-14T11:43:15+07:00,latest_1d,earnings,0.7252,224
2026-06-14T11:43:15+07:00,latest_1d,fiscal_public_investment,0.0,0
2026-06-14T11:43:15+07:00,latest_1d,fx_external,0.007,8
2026-06-14T11:43:15+07:00,latest_1d,growth,0.4078,51
2026-06-14T11:43:15+07:00,latest_1d,inflation,0.0,0
2026-06-14T11:43:15+07:00,latest_1d,liquidity,0.1627,16
2026-06-14T11:43:15+07:00,latest_1d,monetary_policy,0.0,0
2026-06-14T11:43:15+07:00,latest_1d,real_estate_collateral,0.1363,5
2026-06-14T11:43:15+07:00,latest_1d,risk_appetite,-0.3511,8
2026-06-14T11:43:15+07:00,latest_1d,unknown,0.0,5
2026-06-14T11:43:15+07:00,latest_30d,banking_system,-0.0795,16
2026-06-14T11:43:15+07:00,latest_30d,commodity,-0.1052,771
2026-06-14T11:43:15+07:00,latest_30d,credit_stress,0.3513,28
2026-06-14T11:43:15+07:00,latest_30d,earnings,0.4314,1385
2026-06-14T11:43:15+07:00,latest_30d,fiscal_public_investment,0.0,5
2026-06-14T11:43:15+07:00,latest_30d,fx_external,0.1122,265
2026-06-14T11:43:15+07:00,latest_30d,growth,0.0729,2275
2026-06-14T11:43:15+07:00,latest_30d,inflation,0.0,0
2026-06-14T11:43:15+07:00,latest_30d,liquidity,-0.0121,748
2026-06-14T11:43:15+07:00,latest_30d,monetary_policy,1.2897,39
2026-06-14T11:43:15+07:00,latest_30d,real_estate_collateral,0.1279,296
2026-06-14T11:43:15+07:00,latest_30d,risk_appetite,0.0319,545
2026-06-14T11:43:15+07:00,latest_30d,unknown,-0.2015,104
2026-06-14T11:43:15+07:00,latest_7d,banking_system,0.0,3
2026-06-14T11:43:15+07:00,latest_7d,commodity,-0.1868,168
2026-06-14T11:43:15+07:00,latest_7d,credit_stress,0.6324,7
