report_date,sector,maturity_bucket,yield_avg_pct,yield_median_pct,issuance_count,source,scrape_run_id,scraped_at
2026-04-24,real_estate,3Y_5Y,10.599929128277816,11.5,3,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-24,real_estate,<=3Y,11.773972602739724,11.25,4,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-04-24,real_estate,>5Y,4.0,4.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/April2026/20042026-24042026%20%20BAO%20CAO%20TUAN%20TTTP.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-01,bank,<=3Y,8.417142857142856,8.4,10,vbma:pdf_table,vbma-20260708T042819Z-f9515e,2026-07-08T04:28:27Z
2026-05-01,bank,>5Y,8.3,8.3,4,vbma:pdf_table,vbma-20260708T042819Z-f9515e,2026-07-08T04:28:27Z
2026-05-01,non_bank_corp,3Y_5Y,10.7,10.7,1,vbma:pdf_table,vbma-20260708T042819Z-f9515e,2026-07-08T04:28:27Z
2026-05-01,non_bank_corp,<=3Y,10.28204334365325,10.25,2,vbma:pdf_table,vbma-20260708T042819Z-f9515e,2026-07-08T04:28:27Z
2026-05-01,non_bank_corp,>5Y,7.576106194690266,7.6,2,vbma:pdf_table,vbma-20260708T042819Z-f9515e,2026-07-08T04:28:27Z
2026-05-01,real_estate,<=3Y,12.474930362116991,12.5,5,vbma:pdf_table,vbma-20260708T042819Z-f9515e,2026-07-08T04:28:27Z
2026-05-08,bank,<=3Y,8.546745562130177,8.55,10,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/28042026-08052026%20%20BAO%20CAO%20TUAN%20TTTP8.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-08,bank,>5Y,8.055555555555555,8.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/28042026-08052026%20%20BAO%20CAO%20TUAN%20TTTP8.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-08,non_bank_corp,3Y_5Y,9.93877551020408,10.25,2,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/28042026-08052026  BAO CAO TUAN TTTP8.pdf,vbma_weekly_local-20260528T075604Z,2026-05-28T07:56:04Z
