source_file,source_format,ticker_detected,parse_status,missing_fields,warnings,error_message,parsed_at
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/LPB_financial_report.json,json,LPB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/LPB_financial_report.xlsx,xlsx,LPB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/MBB_financial_report.json,json,MBB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/MBB_financial_report.xlsx,xlsx,MBB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/MSB_financial_report.json,json,MSB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/MSB_financial_report.xlsx,xlsx,MSB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/MSN_financial_report.json,json,MSN,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/MSN_financial_report.xlsx,xlsx,MSN,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/MWG_financial_report.json,json,MWG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/MWG_financial_report.xlsx,xlsx,MWG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/NAB_financial_report.json,json,NAB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/NAB_financial_report.xlsx,xlsx,NAB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/NKG_financial_report.json,json,NKG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/NKG_financial_report.xlsx,xlsx,NKG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/NLG_financial_report.json,json,NLG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/NLG_financial_report.xlsx,xlsx,NLG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/NT2_financial_report.json,json,NT2,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/NT2_financial_report.xlsx,xlsx,NT2,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/OCB_financial_report.json,json,OCB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/OCB_financial_report.xlsx,xlsx,OCB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PAN_financial_report.json,json,PAN,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PAN_financial_report.xlsx,xlsx,PAN,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PC1_financial_report.json,json,PC1,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PC1_financial_report.xlsx,xlsx,PC1,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PDR_financial_report.json,json,PDR,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PDR_financial_report.xlsx,xlsx,PDR,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PHR_financial_report.json,json,PHR,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PHR_financial_report.xlsx,xlsx,PHR,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PLX_financial_report.json,json,PLX,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PLX_financial_report.xlsx,xlsx,PLX,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PNJ_financial_report.json,json,PNJ,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PNJ_financial_report.xlsx,xlsx,PNJ,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/POW_financial_report.json,json,POW,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/POW_financial_report.xlsx,xlsx,POW,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PPC_financial_report.json,json,PPC,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PPC_financial_report.xlsx,xlsx,PPC,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PTB_financial_report.json,json,PTB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PTB_financial_report.xlsx,xlsx,PTB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PVD_financial_report.json,json,PVD,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PVD_financial_report.xlsx,xlsx,PVD,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/PVT_financial_report.json,json,PVT,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/PVT_financial_report.xlsx,xlsx,PVT,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/REE_financial_report.json,json,REE,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/REE_financial_report.xlsx,xlsx,REE,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SAB_financial_report.json,json,SAB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SAB_financial_report.xlsx,xlsx,SAB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SBT_financial_report.json,json,SBT,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SBT_financial_report.xlsx,xlsx,SBT,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SCS_financial_report.json,json,SCS,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SCS_financial_report.xlsx,xlsx,SCS,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SHB_financial_report.json,json,SHB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SHB_financial_report.xlsx,xlsx,SHB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SIP_financial_report.json,json,SIP,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SIP_financial_report.xlsx,xlsx,SIP,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SJS_financial_report.json,json,SJS,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SJS_financial_report.xlsx,xlsx,SJS,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SSB_financial_report.json,json,SSB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SSB_financial_report.xlsx,xlsx,SSB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SSI_financial_report.json,json,SSI,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SSI_financial_report.xlsx,xlsx,SSI,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/STB_financial_report.json,json,STB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/STB_financial_report.xlsx,xlsx,STB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/SZC_financial_report.json,json,SZC,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/SZC_financial_report.xlsx,xlsx,SZC,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/TCB_financial_report.json,json,TCB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/TCB_financial_report.xlsx,xlsx,TCB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/TCH_financial_report.json,json,TCH,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/TCH_financial_report.xlsx,xlsx,TCH,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/TLG_financial_report.json,json,TLG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/TLG_financial_report.xlsx,xlsx,TLG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/TPB_financial_report.json,json,TPB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/TPB_financial_report.xlsx,xlsx,TPB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/VCB_financial_report.json,json,VCB,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/VCB_financial_report.xlsx,xlsx,VCB,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/VCG_financial_report.json,json,VCG,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/VCG_financial_report.xlsx,xlsx,VCG,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/VCI_financial_report.json,json,VCI,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/VCI_financial_report.xlsx,xlsx,VCI,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/VGC_financial_report.json,json,VGC,ok,,,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/excel/VGC_financial_report.xlsx,xlsx,VGC,skipped,,ticker already parsed from preferred source,,2026-06-03T08:09:16
/Users/macos/Desktop/vn100_earning-health_monitor/bctc_json/json/VHC_financial_report.json,json,VHC,ok,,,,2026-06-03T08:09:16
